input,domain_label,intent_label
Are there any esports events this month in Los Angeles,event,get event
Tell me the weather forecasts for 7pm.,weather,get weather
i would like to message Rebecca and Everett text,messaging,send message
Please call Mum on her mobile,calling,create call
interested in going to Moon Viewing,event,set rsvp interested
Remind me to take a shower in 15 minutes,reminder,create reminder
Ask Chuck on how to fix a tire while stuck in a snowbank in the middle of nowhere,messaging,send message
Show me latest articles on North Korea conflict,news,get stories news
Create a reminder to go to the doctor Next Tuesday at 2 pm,reminder,create reminder
Headlines on CNN,news,get stories news
create alarm for 1750h,alarm,create alarm
begin call with Linda on WeChat,calling,create call
Has Robert ever worked for HEB?,people,get employer
Who can hang out right now?,calling,get availability
Does Peter live in Los Angeles?,people,get location
Give me details about today's White House press conference,news,get stories news
Astoria events. Saturday only,event,get event
call Lorenzo Lenard Laurelli 's aunt,calling,create call
Change my status to interested for the second event,event,set rsvp interested
What's the current news on the U. N.?,news,get stories news
How much time do I have left on my timer before 7 o'clock?,timer,get timer
Update my alert to get gas after work,reminder,update reminder todo
Will there be fog tonight,weather,get weather
what is the temp in erie,weather,get weather
subtract 17 minutes from my Oven timer,timer,subtract time timer
Will it be raining at 9pm tonight?,weather,get weather
Turn on Yo Gotti music,music,play music
Tell me all the reminders I have for tomorrow.,reminder,get reminder
I need you to ask Kat if the Yoga class is still on for tomorrow.,messaging,send message
Remind the choir about the practice at 5 PM.,reminder,create reminder
Set alarm for 5:00 am,alarm,create alarm
Does sausage contain salt,recipes,is true recipes
events in Vegas this weekend,event,get event
Send Who Gets to Make History? The Story of Monuments and Statues to Walter,event,share event
Where did Halle Berry grow up?,people,get location
How do you make roux for gravy,recipes,get recipes
record a video message for Chana Stamps,messaging,send message
Please call Imogen,calling,create call
Is there an ice advisory,weather,get weather
Set timer for 1 hour.,timer,create timer
When did Mum ring me?,calling,get call time
Delete all the reminders about the Collective Radio Network Board meetings.,reminder,delete reminder
Add five minutes to the timer.,timer,add time timer
text Dylan saying Okay sweet,messaging,send message
How hot did it get yesterday,weather,get weather
lets see texts from Gideon,messaging,get message
Would you record video message to Jon,messaging,send message
How warm is it outside?,weather,get weather
call Nikolai through whatsapp,calling,create call
Set up an alarm for me,alarm,create alarm
Add mowing the backyard to my household chores reminder next week.,reminder,update reminder todo
Please remove Carson from the call,calling,update call
Tell me  who works at the DMV,people,get contact
please delete the reminders to call mom during month of October,reminder,delete reminder
What weather is expected this Friday at 8pm?,weather,get weather
Set a timer for every 15 minutes,timer,create timer
I want to go to to TEDxSeattle,event,set rsvp yes
"Remind me to call my wife, so I can change the time of our lunch appointment.",reminder,create reminder
Who is Sylvia?,people,get info contact
Move the alarm to 8pm on Saturday,alarm,update alarm
what's the weather going to be doing at the weekend?,weather,get weather
what's the temp?,weather,get weather
Any of my friends living in LA?,people,get contact
have alarms go off tomorrow morning,alarm,create alarm
Is somebody online now ?,calling,get availability
create an alarm for Monday at 8,alarm,create alarm
Is there any sports match in November,event,get event
please change my Vacuum timer,timer,update timer
Call Dominos to order a pizza,calling,create call
Message Robert and ask transportation options to his location.,messaging,send message
give new details of political scandal,news,get stories news
any recent news about hilary clinton,news,get stories news
set alarm to go off everyday at 9:15,alarm,create alarm
Where was Mariah Carey born?,people,get location
Remind me on August 8th at 9am to tell Davy about Pua's party.,reminder,create reminder
I want to add five minutes to my tie-dye timer.,timer,add time timer
Show me any messages,messaging,get message
Create alarm for next thursday,alarm,create alarm
Send group reminder to list any allergies anyone has who is coming to the birthday party,reminder,create reminder
please send Tad on WhatsApp that are you free,messaging,send message
Remind me to pay estimated taxes by Sept 15th,reminder,create reminder
Please make sure Monica knows that the tavern doesn't open until 5pm.,messaging,send message
find people who are employed at Pfizer.,people,get contact
Who won the Mega Millions,news,question news
do i have a scheduled reminder for today,reminder,get reminder
Switch to new incoming call,calling,switch call
call Maurice Chevalier,calling,create call
call Jennie Monti 's granddaughter,calling,create call
remind me the take out the trash when I arrive at home,reminder,create reminder
Pause my music.,music,pause music
call Hughes right away,calling,create call
make phone call,calling,create call
news update please,news,get stories news
Remind me to leave early tomorrow,reminder,create reminder
Pause timer for now.,timer,pause timer
can use please use Messenger to call Maxwell Costa,calling,create call
any snow in gympie,weather,get weather
Call Philip for me,calling,create call
whats the temp in phoenix right now,weather,get weather
Find me a hip hop playlist,music,play music
get time left on the Workout timer,timer,get timer
Remove any reminder that include Susan,reminder,delete reminder
homemade steak seasoning,recipes,get recipes
Dinner party reminder that is suppose to go off in 30 minutes needs to be removed now please.,reminder,delete reminder
remind me to call my wife when I leave work,reminder,create reminder
weather in celsius,weather,get weather
Tell Jimmy the puppet show will be tonight at the local elementary school.,messaging,send message
lets see my texts from Adriel,messaging,get message
What temp is chicken done at,recipes,get info recipes
When did Patty graduate from Eastern Michigan,people,get education time
tell me recent headlines on a trustworthy news outlet,news,get stories news
when is it going to rain,weather,get weather
Will I need a coat for shopping?,weather,get weather
Who is on concert this week in Atlanta,event,get event
Set alarms for 9am and 10pm.,alarm,create alarm
Add a reminder to transfer money to checking on the first of the month.,reminder,create reminder
start a 1 minute timer and repeat it 10 times in a row,timer,create timer
is it windy today?,weather,get weather
Where does Doug work,people,get employer
Set an alarm this Thursday at 9am and 10am,alarm,create alarm
Create a reminder to pick up the dry cleaning tomorrow.,reminder,create reminder
Play Maxwell,music,play music
remind me the appoint for the dentist,reminder,create reminder
What does the temperature feel like today?,weather,get weather
PLEASE GIVE ME THE WORLD NEWS.,news,get stories news
best popcorn toppings,recipes,get info recipes
Remind me to email my younger brother.,reminder,create reminder
shuffle songs by the collection,music,start shuffle music
Are we under a tornado watch?,weather,get weather
I want to invite Nikki to my current call,calling,update call
What's the number one song on the billboard?,music,question music
What can I cook with rice,recipes,get recipes
Concerts in Omaha,event,get event
Show me the reminders for my team mate group for the month,reminder,get reminder
Make alarm for Wednesdays at 6,alarm,create alarm
Please read me details on Anderson Cooper's last reports.,news,get stories news
Clear all alarms.,alarm,delete alarm
Show my reminders for this weekend,reminder,get reminder
I need to add Mom to the call,calling,update call
Who is singing this,music,get track info music
can you set an alarm for one and a half hours from now,alarm,create alarm
Please replay the whole CD,music,replay music
Any news from Google News,news,get stories news
"i would like to message that video to Anna, Julia Peterson, and Jose",messaging,send message
carl girlfriend encid,people,get contact
Play Kelsea Ballerini's newest album,music,play music
Send a message to Alice and ask if the flowers go to Herberts on 3rd.,messaging,send message
Please set alarm for tomorrow afternoon,alarm,create alarm
Shorten current timer by half,timer,subtract time timer
what is the latest update on the hernandez murder trial,news,get stories news
Play me Jimmy Buffett's greatest hits,music,play music
How much butter should I put in this cake,recipes,get info recipes
"Please pause the timer, and start timing in 10 minutes.",timer,pause timer
Remind me to research for my podcast on Sunday.,reminder,create reminder
set alarm for 6:00 Am tomorrow,alarm,create alarm
Show my husband's reminder.,reminder,get reminder
how do I make crock-pot chicken,recipes,get recipes
Add Lindsey to all reminders related to Ava's soccer games,reminder,update reminder
chocolate chip muffin recipe,recipes,get recipes
Read me all the news stories on Kanye West recently,news,get stories news
Can you change the alert time for my next reminder to 20 minutes before?,reminder,update reminder date time
please speaker call stepdads,calling,create call
Add an hour to my timer.,timer,add time timer
Has the graduation thread messaged me since Tuesday,messaging,get message
Please delete the timer I just started and begin a new one.,timer,delete timer
Tell me Miquel Kressler stepfathers birthdays,people,get contact
This call is finished,calling,end call
what can i do tonight in santa monica,event,get event
when is the concert,event,get date time event
In what season can I expect there to be hurricanes in Miami,weather,get weather
Show all Glenda Wulfing fathers-in-law upcoming birthdays,people,get contact
Is Yasin accepting calls at the moment?,calling,get availability
Set my timer for the usual time please,timer,create timer
List today's events,event,get event
What are the recent headlines in the stock market?,news,get stories news
how much longer until sunrise,weather,get sunrise
put up an alarm for 25 minutes from now,alarm,create alarm
What temperature should I roast a chicken at,recipes,get info recipes
Set the sleep timer for 10 minutes,timer,create timer
"I'd like to call with my cousins Alberto, Claire, Kiera, and Lukas on Messenger",calling,create call
Pull up the weather in France please,weather,get weather
Start timer now!,timer,create timer
Is it gonna rain tonight?,weather,get weather
Tell me when Unicorn starts,event,get date time event
Remind me of doctor's appointment at 9 AM on August 6.,reminder,create reminder
How's the weather looking in Prague?,weather,get weather
news headlines from last week,news,get stories news
DM my husband that I'm on my way.,messaging,send message
who is currently topping the charts,music,question music
how many calls did i receive on Wednesday,calling,get call
did anyone go to Pitt,people,get contact
Send Glowga to Lawson,event,share event
Only use pandora as my music app,music,set default provider music
I want to go to the fourth event,event,set rsvp yes
make a reminder on 8/2 for a doctor's appt at 9:45,reminder,create reminder
Are there any events going on downtown right now,event,get event
remind me to floss my teeth tomorrow morning,reminder,create reminder
Not right now,calling,ignore call
when does the sun rise,weather,get sunrise
What is the temperature in Iceland right now?,weather,get weather
set alarm for saturday at 8 am,alarm,create alarm
Set an alarm to wake me up at 7 am called Work,alarm,create alarm
Change to salsa music.,music,play music
Add 2 more minutes to this timer,timer,add time timer
"Dinner will be ready at 6:30, remind me at 6:00 to start the rice.",reminder,create reminder
Snooze for half an hour,alarm,snooze alarm
What temperature do I need to boil a egg,recipes,get info recipes
Will it be a hot one today?,weather,get weather
Tell me the name of the person calling right now,calling,get call contact
Message Dave asking if he found my bluetooth in the store,messaging,send message
Reminder to make dentist app for myself for next week,reminder,create reminder
I'd like to listen to some thrash metal.,music,play music
latest north korea news,news,get stories news
Looking for something fun in South Lake Tahoe for next weekend,event,get event
The temperature in Celsius outside right now.,weather,get weather
I want to send a video message to my brother.,messaging,send message
Are there any Google employees here?,people,get contact
Remind me to pick up Chineses food today,reminder,create reminder
start timer at 1:00 pm,timer,create timer
Please show me reminder about dinner dates with my kids this week,reminder,get reminder
what is the weather in Vegas like next week?,weather,get weather
What is the weather in Chapel Hill at 5 am?,weather,get weather
end the timer,timer,delete timer
I would like to send Joey a call invite,calling,update call
christines home address please,people,get location
Play Despacito on repeat,music,loop music
send message to kirk that there are 2 flights to oakland on tuesday,messaging,send message
Please stop the timer.,timer,pause timer
will it be humid tomorrow,weather,get weather
Ask Jenny to meet us at the nearest library,messaging,send message
What's the forecast like this evening?,weather,get weather
Add friend to call,calling,update call
a playlist for popular Madonna songs,music,play music
Make alarm my work alarm.,alarm,create alarm
What is the weather for Long Beach tomorrow morning 0800 hours?,weather,get weather
Set alarm every 10 minutes for an hour,alarm,create alarm
Has the college friend thread sent me anything,messaging,get message
what kind of concerts are happening this weekend in nashville,event,get event
headlines for Hawaii,news,get stories news
List the days that have temp higher than 50 degree this week,weather,get weather
add reminder to call dentist for appointment,reminder,create reminder
People who went to University of Nebraska.,people,get contact
give Nancy Sherman a call,calling,create call
Ring stepparents,calling,create call
Set a reminder to call my dad at 5:00 to ask about his doctor's appointment.,reminder,create reminder
play madonna on spotify,music,play music
make a call to Noelle's papa Derek,calling,create call
modify the reminder for groceries and add milk and eggs,reminder,update reminder todo
Please play me hit songs,music,play music
my friends in GA online,calling,get availability
make my cell phone reminder reoccurring,reminder,update reminder
Set alarm for one hour from now.,alarm,create alarm
How many days this week will it rain?,weather,get weather
How old is jill,people,get age
Does George has a work address?,people,get location
Tell Sally the party starts at 7 PM on Father's Day,messaging,send message
A new alarm for 3pm needs to be set,alarm,create alarm
Delete all reminders for Sunday,reminder,delete reminder
make this timer longer by 2 hours,timer,add time timer
news about police brutality,news,get stories news
Send a group message to my friends to see if they want to meet for a movie and dinner this weekend.,messaging,send message
Set reminder for term paper due date,reminder,create reminder
video call brothers in law and jill,calling,create call
message mark to see if he wants to join me for the biebs concert,messaging,send message
Show me the ingredients to make chicken parmesan,recipes,get info recipes
How many years did Jim work for Google?,people,get employment time
is it raining in London,weather,get weather
Give me details on Dow Jones,news,get stories news
on whatsapp call grandfather's cell,calling,create call
What is the temp in Texas right now,weather,get weather
Anyone I know from Milwaukee,people,get contact
I need to switch to the incoming call,calling,switch call
Reminnd me that I should be nice,reminder,create reminder
Can you add in Dora Filipovich ?,calling,update call
is there any news news about president trump?,news,get stories news
Set an alarm for 7:00am on 25th July,alarm,create alarm
how long is the timer set for,timer,get timer
Who do I know in Alaska?,people,get contact
Is Lily's house in Seattle?,people,get location
Give me a new song.,music,play music
can you send it to Sarah on WhatsApp,messaging,send message
Change the reminder to Call Dani to 4pm instead of 3pm,reminder,update reminder date time
Play Madonna's top hits,music,play music
How long has my timer been going?,timer,get timer
call Joseph four,calling,create call
Hang up my call,calling,end call
Share Psychedelics and Social Justice with Emery,event,share event
set alarm october 10th,alarm,create alarm
how many calories in a cup of whole milk,recipes,get info recipes
Weather for the next 3 days,weather,get weather
Increase my timer to 30 minutes.,timer,create timer
Modify tomorrow's wake up reminder for my daughter.,reminder,update reminder
Set alarm for 8am,alarm,create alarm
find fake news,news,get stories news
Tell me about the weather this afternoon,weather,get weather
what ingredients are needed for meatloaf,recipes,get info recipes
Add the list of diet food in all the reminders about grocery shopping,reminder,update reminder todo
Do I need an umbrella when I go out tonight?,weather,get weather
How hot will it be in celcius in Stockport on Saturday?,weather,get weather
Play me Ocean Breathes Salty by Modest Mouse,music,play music
change alarm to 6 am please,alarm,update alarm
Find me a recipe for gazpacho,recipes,get recipes
Set alarm for 8:00AM,alarm,create alarm
call up the grandfather of Remi,calling,create call
Set alarm every minutes for 15 minutes,alarm,create alarm
Let Laura know the concert is on August 10th at 6pm,messaging,send message
create an alarm at 6.30 thats weekly for three weeks,alarm,create alarm
When did Lena start going to Miami Dade College?,people,get education time
Remind me to pick up orange juice after the movie today,reminder,create reminder
call Deborah right away,calling,create call
I need an 11 minute pasta timer,timer,create timer
what are the details about the fire,news,get stories news
What is Emily's occupation?,people,get job
At what time did I miss a call today?,calling,get call time
top stories fox news,news,get stories news
Pause slow cooker alarm for 5 mins.,alarm,snooze alarm
What is my next alarm,alarm,get alarm
Has Bill Clinton been in the news lately,news,get stories news
Local news update.,news,get stories news
can you send a video message to michael now,messaging,send message
Who's Mary's mom?,people,get contact
Play me instrumental music,music,play music
Tell me any friends living in Atlanta.,people,get contact
get us news,news,get stories news
Put five minutes on the timer,timer,create timer
Where does Kenny live in Washington?,people,get location
get rid of the reminders about the book club party in october,reminder,delete reminder
Please call John,calling,create call
display texts from my niece,messaging,get message
delete reminder about jason's immunizations,reminder,delete reminder
Who works in Venice,people,get contact
new alarm for 6,alarm,create alarm
Any severe weather in the forecast?,weather,get weather
will I need to shovel snow in the morning,weather,get weather
Hey Bot! Message Saji that I loved her pictures of her garden.,messaging,send message
Is it going to be warm today?,weather,get weather
please dial Emily right away,calling,create call
Is there anything to do in Headland Friday night,event,get event
what fun events are there in Tampa next weekend,event,get event
Remind me to leave for Special needs luncheon in Fairbanks Ranch at 11:30PT on September 6,reminder,create reminder
Show me people I know who went to SUU?,people,get contact
can you get rid of all the reminders relating to tonights pot luck supper event,reminder,delete reminder
Who's Pam working for now?,people,get employer
start a video call with John,calling,create call
remind me to set a one hour appt with a masseuse,reminder,create reminder
Please reject the incoming call,calling,ignore call
create a playlist: Channel X,music,create playlist music
Can you call Keegan Xavier Andersen,calling,create call
Drop Michelle from this call,calling,update call
remind me to reschedule dinner when i get to work,reminder,create reminder
set alarm for 8:30am,alarm,create alarm
what is going on with The Kardashians in the news,news,get stories news
remind me to get extra food and treats for the dogs,reminder,create reminder
Does Chicken Alfredo have milk in it,recipes,is true recipes
Could you ignore the call,calling,ignore call
Cancel all alarms.,alarm,delete alarm
do i have any medical appointments reminders,reminder,get reminder
remind me to pack all the toiletries in a separate bag,reminder,create reminder
get the timer to take a break,timer,pause timer
"Begin video call with my spouse Bryan, my spouse Tiara, my girlfriend Bridget, and my dad Wesley on Discord",calling,create call
how many calories are in mangos,recipes,get info recipes
Set an wake up alarm to get me out of bed at 6pm tomorrow,alarm,create alarm
How many eggs are in a pound cake,recipes,get info recipes
start timer in exactly one hour,timer,create timer
call Tori Bortle 's grandmother,calling,create call
i would like to message Jimmy that WhatsApp text,messaging,send message
Is it raining today in new York ?,weather,get weather
call my Whatsapp contact Alexa Delgado,calling,create call
Tell me who works at expressions,people,get contact
please call Catherine right away,calling,create call
What are Rachel's favorite TV shows?,people,get info contact
remind me to go left at the light,reminder,create reminder
play all Stones albums on pandora,music,play music
Matt's address of work,people,get location
yesterdays news highlights,news,get stories news
How to separate a egg yolk,recipes,get info recipes
tell me about the weather,weather,get weather
Did any of my cousins go to University of Chicago?,people,get contact
any headlines about obama,news,get stories news
Can you set an alarm for 7.00 am please?,alarm,create alarm
Message my daughter - ask her if she is going to Disney this year,messaging,send message
Pause the egg timer,timer,pause timer
Remove the reminder I had for Phils birthday this month,reminder,delete reminder
What is the main news headline this evening,news,get stories news
Tell me about the weather,weather,get weather
Make an alarm at 9 and one at 10,alarm,create alarm
"make a conference call between me, shelly and ronald",calling,create call
how do I make pie,recipes,get recipes
Remind me to FaceTime Dad at 7 tonight.,reminder,create reminder
Show me the reminder for the house tour.,reminder,get reminder
please display my friends application,people,get contact
can you drop the timer,timer,delete timer
Remind me to wake up at 6 o'clock tomorrow,reminder,create reminder
Remind Andy to send flowers to his mother,reminder,create reminder
Remind me to plan a dinner party for the board members next week.,reminder,create reminder
invite stepbrothers to the call,calling,update call
Broadway shows opening this month,event,get event
whats there to do tomorrow,event,get event
tell me where does Andrea go to college,people,get undergrad
set two timers one for 1 minute one for 15 minutes,timer,create timer
give me the weather for aruba for the next month,weather,get weather
Weather for Tuesday night please,weather,get weather
Put Chun managers upcoming birthdays on the screen,people,get contact
Please add an alarm to go off every day at midday,alarm,create alarm
"Remind me to prep the paintings for the exhibit on Friday, September 14 at 10amPT",reminder,create reminder
mark me as not going to Open Stage NYC,event,set rsvp no
End the call to wife,calling,end call
Find whole 30 recipes,recipes,get recipes
How many inches of snow is predicted for Thursday?,weather,get weather
What rack should I bake my pizza on,recipes,get info recipes
Alter the flight alarm time from 7am to 5am,alarm,update alarm
Play Stevie Wonder old hits please,music,play music
How long does take  to bake a bread,recipes,get info recipes
Tuesday about 3 PM I got a message from accounting relay that to me,messaging,get message
Are there any big elections in the news the week?,news,get stories news
What is going on tonight in Toronto,event,get event
set the timer for cleaning the self-cleaning oven,timer,create timer
What is the hurricane damage report,news,question news
Is the hurricane coming over here?,weather,get weather
"Initiate video call with my friends Jackson, Miguel, Dylan, and Kaitlyn on Messenger",calling,create call
set me an alarm for today,alarm,create alarm
Remind me to save a hundred dollars for next weeks rent on Friday 6pm,reminder,create reminder
let's call Katherine on Hangouts,calling,create call
Have Hailey Fischer taken off the group call,calling,update call
Change all birthday alerts to 4 pm.,reminder,update reminder date time
find Snoop Dogg,music,play media
Play some top 40 music,music,play music
I need a chicken and dumplings recipe,recipes,get recipes
things to do tonight in downtown Orlando,event,get event
What's the weather going to be like today in Melbourne?,weather,get weather
Snooze the next alarm for 10 minutes,alarm,snooze alarm
Will it be raining today?,weather,get weather
Remind Joe K to call me on the 19th at 7 please,reminder,create reminder
what time did i call dad?,calling,get call time
is that enya?,music,get track info music
Set alarm for 5 am tomorrow morning,alarm,create alarm
Play popular kids music,music,play music
How do I make alfredo sauce,recipes,get recipes
what is the low temperature for thursday,weather,get weather
What is the current track list in pop music on Spotify,music,question music
update the birthday date reminder to saturday,reminder,update reminder date time
Conditions of weather for 4th of July in the United States,weather,get weather
WhatsApp call Christine Davila,calling,create call
find music with nature sounds in it,music,play music
Show me reminders for 5 pm on Thursday,reminder,get reminder
Sporting events in Mesquite this Saturday,event,get event
How many calories are in a full pizza pie?,recipes,get info recipes
international tech news for this week please,news,get stories news
Add 8 minutes to the timer,timer,add time timer
I'd like to hear some Baroque Pop music.,music,play music
use WeChat as my calling provider,calling,set default provider calling
i want to call Linda S Frederick,calling,create call
why not the weather,weather,get weather
What are the top news events going on in the US,news,get stories news
I want to hear Beyonce on Spotify,music,play music
Give me an update on the latest weather news.,news,get stories news
does lily work at costco,people,get employer
Could you connect me to Magic: The Gathering on Slack please,calling,create call
How much money does NBC getting from big pharma?,news,question news
how many days this week is rain in the forecast,weather,get weather
Remind me to check in to my flight at 9am.,reminder,create reminder
Give me an article about North Korea,news,get stories news
Give me news about the world cup bid,news,get stories news
"Was there any news in St. Louis, MO today?",news,get stories news
what is the remaining time on the timer,timer,get timer
let's start recording a video message for Joelle Dechellis,messaging,send message
i want to call Ben,calling,create call
Make alarms for Wednesday at 6.30AM and 7AM,alarm,create alarm
Set my current availability as unavailable,calling,set unavailable
Does Alia live in Boston?,people,get location
Will I need a winter jacket today?,weather,get weather
anything interesting in the news today?,news,get stories news
Do you put cinnamon in baked apples,recipes,is true recipes
How do I delete my reminders,reminder,help reminder
What are some no-bake dessert ideas,recipes,get recipes
play all breaking news,news,get stories news
when did boss ring me,calling,get call time
Send mom to voicemal,calling,ignore call
Thinks  to do in Ft. Worth this coming weekend,event,get event
show me video messages from my papa Saylor,messaging,get message
are storms in the forecast for this afternoon,weather,get weather
Any new messages,messaging,get message
"Can you find me a recipe for a rich, fruit cake with brandy sauce",recipes,get recipes
Look for vegan mac and cheese recipes,recipes,get recipes
Play my Spotify playlist in the kitchen,music,play music
What years was Winston Churchill prime minister of England?,people,get employment time
What ingredient makes cookies soft,recipes,get info recipes
How many friends live in Cairo?,people,get contact
who works at Farmer's Insurance,people,get contact
Update my reminders to call Rose to Friday at 4 pm MDT.,reminder,update reminder date time
Message Stevie asking what time dinner will be ready?,messaging,send message
Tell me please how much time is left of my timer,timer,get timer
Set a reminder to call Sheila at 9pm on Friday.,reminder,create reminder
Give me CNN headlines,news,get stories news
"How many birthdays are on May 30th, 1944?",people,get contact
please show me everyone who's available,calling,get availability
Alarm on for tomorrow.,alarm,create alarm
what is going on in the french quarter right now,event,get event
Add in Margy Burtschi,calling,update call
Temperature to cook ham,recipes,get info recipes
Remind me to ask for a raise at 10,reminder,create reminder
remind the team that the meeting is 11 am,reminder,create reminder
repeat that last song,music,previous track music
What's going in Bridgeport,event,get event
call Andrew Larsen Randolph,calling,create call
start a call with Destiny Collins via WhatsApp,calling,create call
hold this call,calling,hold call
Tell me who is Catarina.,people,get info contact
Has Angelika Kratzer video messaged me?,messaging,get message
What type of cheese is used on cheeseburgers?,recipes,get info recipes
Tell me how many reminders I have next week.,reminder,get reminder amount
breaking news in the UK,news,get stories news
Please create a 45 minute timer and name it guests please leave,timer,create timer
whats going on friday night,event,get event
What is the weather in Chapel Hill at 8 am?,weather,get weather
Change all reminders for tomorrow's events to occur at 12noon.,reminder,update reminder date time
Can you give me more details about the immigration crisis?,news,get stories news
play favorite workout songs,music,play music
Remind me to take the laundry out of the dryer in an hour.,reminder,create reminder
Remind me four days in advance that I'm supposed to take an appetizer to the Fun Lunch next month.,reminder,create reminder
please play Feeling on Spotify,music,play music
please switch to the other line,calling,switch call
how to make spaghetti sauce,recipes,get recipes
get rid of the reminders for cleaning.,reminder,delete reminder
Show me all reminders.,reminder,get reminder
storms today?,weather,get weather
Delete the reminder about buying dog food since my husband already bought it.,reminder,delete reminder
Add another 5 minutes to the timer,timer,add time timer
set an alarm for 9 pm,alarm,create alarm
create a playlist of pop music,music,create playlist music
Read Fox News headlines,news,get stories news
Things to do in Detroit in April,event,get event
How many calories in chicken thigh,recipes,get info recipes
"Find me a recipe for chicken tetrazzini, please",recipes,get recipes
give me a new alarm for 18h55,alarm,create alarm
recent news on los angels crimes,news,get stories news
how much time until the alarm sets off?,alarm,get alarm
what is the forecast for florida beaches?,weather,get weather
New alarm for 445pm on Tuesdays,alarm,create alarm
call Javon Nicholson through whatsapp,calling,create call
Cancel school meeting reminder next week on friday,reminder,delete reminder
Please start call with dad,calling,create call
Play classical music,music,play music
READ ME THE DETAILS ABOUT THE CONFLICT WITH NORTH KOREA,news,get stories news
Call Jayla Carole Bautista for me,calling,create call
What speed is the current storm in Daytona moving at?,weather,get weather
Most up to date news,news,get stories news
set reminder for 30 days,reminder,create reminder
turn on alarm,alarm,create alarm
socal news,news,get stories news
Do I know anyone that went to Penn State University?,people,get contact
play taylor swifts newest song,music,play music
Add Roxy and Sarah to this call,calling,update call
Can you please add in Abby?,calling,update call
text Ella and Brieanna that happy new years,messaging,send message
Make a workout timer for 45 minutes,timer,create timer
please call 5558168  from iPhone,calling,create call
remind to visit the eye doctor on thursday,reminder,create reminder
anything to do in nyc on saturday,event,get event
Remind me to get eggs after work tonight.,reminder,create reminder
What can we do in Atlanta tomorrow,event,get event
ask beth what is the best way to get to the cabin from here,messaging,send message
what is the best way to cook fish,recipes,get recipes
Video call my friend Julie now,calling,create call
Can you search for the weather on this  labour day ?,weather,get weather
Let Belinda know I'll be watching her children on Friday night,messaging,send message
last song again please,music,previous track music
Need to call dentist now.,calling,create call
How hot will it get,weather,get weather
What's the latest political news,news,get stories news
What's the current news today?,news,get stories news
How to make almond milk,recipes,get info recipes
please set an alarm for 3:00 pm every day,alarm,create alarm
News update for today,news,get stories news
Cancel the reminder for breakfast,reminder,delete reminder
Get me recipes from Zanzibar,recipes,get recipes
Can I see the reminder about Craig's orientation?,reminder,get reminder
Tell me the weather for India on next week,weather,get weather
how long should I bake chicken for,recipes,get info recipes
when is my next dentist reminder,reminder,get reminder date time
Car shows happening soon,event,get event
Start alarm for 9am every Sunday biweekly,alarm,create alarm
please set up a timer called pho,timer,create timer
What reminders does my husband Mark have for this month,reminder,get reminder
How long should I cook chicken in a crock pot,recipes,get info recipes
Change my entire alarm list,alarm,update alarm
Remind me to email Urmila about the job opportunity,reminder,create reminder
family member still live in calfornia,people,get contact
call on whatsapp Kasen,calling,create call
Delete my reminders involving Liam,reminder,delete reminder
Tell me Alexander Persall grandkids birthdays,people,get contact
let's see who's online,calling,get availability
How cold is it seattle this weekend fahrenheit,weather,get weather
Tell me all recent political news.,news,get stories news
set my status as unavailable,calling,set unavailable
What temperature is necessary for roasted root vegetables,recipes,get info recipes
News happening in Washington DC?,news,get stories news
Please remind me to respond to my mom's text message after I get out of class at 6:35pm.,reminder,create reminder
Remind me on Friday to stop the mail for the week,reminder,create reminder
play Marvin Gaye on iheartradio,music,play music
name who are mini's friends,people,get contact
skip the track,music,skip track music
make a playlist called Late Night Vibes,music,create playlist music
Show me top pictures from todays headlines,news,get stories news
What's the weekend weather forecast for California?,weather,get weather
create one timer for 15 seconds and another for 9 minutes and another for 40 seconds,timer,create timer
give me a recipe for chocolate cake,recipes,get recipes
Record a video message for Edwin.,messaging,send message
How heavy is the rain?,weather,get weather
Where does Marina live?,people,get location
call Aubree 's sister,calling,create call
Remind me of how much time is left after 10 minutes,reminder,create reminder
Show news stories about car accidents in Detroit.,news,get stories news
Delete a current alarm.,alarm,delete alarm
give the grandma of Aaron a call,calling,create call
I need you to video message Jenny,messaging,send message
What's happening in downtown OKC tonight,event,get event
Get rid of any reminders for the bus tour this coming weekend,reminder,delete reminder
show me latest news from MSNBC,news,get stories news
I will be going to a play tonight; can you set a reminder to remind me 30 minutes before it starts?,reminder,create reminder
Set a timer for five minutes now.,timer,create timer
How many nations does the US have as allies,news,question news
does thomas know any of my friends?,people,get mutual friends
I'm now available,calling,set available
Set alarm for 9 a.m flight,alarm,create alarm
Find me a dairy free dessert recipe,recipes,get recipes
Set an alarm this morning,alarm,create alarm
Message Vi to let her know we'll be on our way there soon.,messaging,send message
Message Jackie to see when they return from their Mexico trip,messaging,send message
Will it storm tomorrow,weather,get weather
is there rain forecast for tonight,weather,get weather
What's the weather forecast for Queensland?,weather,get weather
What are the top stories on Fox News>,news,get stories news
Show me all of the reminders for work this week?,reminder,get reminder
what is the latest news on Russia,news,get stories news
what temperature do you cook low carb spaghetti,recipes,get info recipes
Start monthly alarms for Tuesdays at 6 am and 6 pm,alarm,create alarm
call family group now,calling,create call
do any of my friends go to harvard,people,get contact
set reminder for Mike's dental appointment this Tuesday,reminder,create reminder
How many calories are in an apple?,recipes,get info recipes
call Mason using Whatsapp video chat,calling,create call
Message Willy and ask him when the bon fire will be lit tonight.,messaging,send message
